,MSZoning,Street,LandContour,Utilities,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,AgeBeforeRemodel,TotalHouseSizeSF,OverallQual,OverallCond,YearRemodAdd,Foundation,BsmtCond,Heating,HeatingQC,CentralAir,Electrical,TotalKitchens,KitchenQual,TotalRooms,TotalBathRooms,Functional,Fireplaces,GarageType,GarageYrBlt,GarageQual,SaleType,SaleCondition,SalePrice
342,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,Duplex,1Story,1,1440,3,4,1950,Slab,NB,Wall,Fa,N,FuseA,2,TA,6,2,Typ,0,Detchd,1949.0,TA,WD,Normal,87500
343,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,0,4499,9,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,6,2,Typ,1,Attchd,2005.0,TA,WD,Normal,266000
344,RM,Pave,Lvl,AllPub,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,0,2166,5,3,1976,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,4,2,Typ,0,Attchd,1976.0,TA,WD,Normal,85000
345,RL,Pave,Lvl,AllPub,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,11,2861,6,5,1950,BrkTil,TA,GasA,Gd,Y,SBrkr,1,Fa,6,1,Typ,1,Detchd,1939.0,TA,WD,Normal,140200
346,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,38,2217,6,8,1998,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,5,1,Typ,0,Attchd,1960.0,TA,WD,Normal,151500
347,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,3494,6,5,1960,CBlock,TA,GasA,Ex,Y,FuseA,1,TA,6,3,Typ,2,Attchd,1960.0,TA,WD,Normal,157500
348,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,1,2891,7,5,2004,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,4,Typ,0,BuiltIn,2003.0,TA,WD,Normal,154000
349,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,2Story,1,5282,9,5,2006,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,10,4,Typ,2,Attchd,2006.0,TA,New,Partial,437154
350,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,0,4619,9,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,6,2,Typ,1,Attchd,2007.0,TA,New,Partial,318061
351,RL,Pave,Low,AllPub,Mod,ClearCr,Norm,Norm,1Fam,1Story,0,3615,7,5,1986,PConc,TA,GasA,Gd,Y,SBrkr,1,Gd,6,3,Typ,1,Attchd,1986.0,TA,WD,Abnorml,190000
352,RL,Pave,Lvl,AllPub,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,9,1975,5,6,1950,CBlock,Fa,GasA,TA,N,SBrkr,1,TA,5,2,Typ,0,Detchd,1941.0,TA,ConLw,Normal,95000
353,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,1Story,75,1934,6,8,2003,BrkTil,TA,GasA,Gd,Y,SBrkr,1,TA,5,1,Typ,0,Detchd,2005.0,TA,WD,Normal,105900
354,RL,Pave,Bnk,AllPub,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,60,2883,6,5,2000,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,6,1,Typ,2,Attchd,1940.0,TA,WD,Normal,140000
355,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,2947,6,5,1995,PConc,Gd,GasA,Ex,Y,SBrkr,1,Gd,6,3,Typ,0,Attchd,1995.0,TA,WD,Normal,177500
356,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,1Story,0,2871,6,6,1992,PConc,TA,GasA,Gd,Y,SBrkr,1,Gd,6,3,Typ,0,Attchd,1992.0,TA,WD,Normal,173000
357,RM,Pave,Lvl,AllPub,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,0,3438,5,5,1976,PConc,TA,GasA,TA,Y,SBrkr,1,TA,6,3,Typ,1,Attchd,1976.0,TA,WD,Normal,134000
358,RL,Pave,Lvl,AllPub,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,0,3164,5,4,1958,CBlock,TA,GasA,Ex,Y,FuseF,1,Gd,6,2,Min2,0,BuiltIn,1958.0,TA,WD,Abnorml,130000
359,RL,Pave,Lvl,AllPub,Gtl,NoRidge,Norm,Norm,1Fam,2Story,0,4259,8,5,1998,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,4,Typ,1,Attchd,1998.0,TA,WD,Normal,280000
360,RL,Pave,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,0,2462,6,6,1978,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,5,2,Typ,1,Attchd,1978.0,TA,WD,Normal,156000
361,RL,Pave,Lvl,AllPub,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,42,2628,5,5,1982,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,8,2,Typ,0,Detchd,1940.0,TA,WD,Normal,145000
362,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,0,2771,7,5,2003,Slab,NB,GasA,Ex,Y,SBrkr,1,Gd,7,3,Typ,1,BuiltIn,2003.0,TA,ConLD,Normal,198500
363,RM,Pave,Lvl,AllPub,Gtl,BrDale,Norm,Norm,Twnhs,2Story,35,1984,6,8,2007,CBlock,TA,GasA,Gd,Y,SBrkr,1,Gd,5,2,Typ,0,Detchd,1972.0,TA,WD,Normal,118000
364,RL,Pave,Lvl,AllPub,Gtl,NWAmes,Norm,Norm,1Fam,2Story,0,3353,6,5,1976,PConc,TA,GasA,TA,Y,SBrkr,1,TA,6,4,Typ,1,Attchd,1976.0,TA,WD,Normal,190000
365,RM,Pave,Lvl,AllPub,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,77,2830,5,7,1997,CBlock,Fa,GasA,Gd,Y,FuseA,1,TA,6,1,Typ,0,Detchd,1964.0,TA,WD,Normal,147000
366,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,3563,6,5,1963,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,6,3,Typ,2,Attchd,1963.0,TA,WD,Normal,159000
367,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,SLvl,0,3000,6,5,1962,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,6,2,Typ,1,Basment,1962.0,TA,WD,Normal,165000
368,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2878,5,6,1954,PConc,TA,GasA,Gd,Y,SBrkr,1,TA,7,1,Typ,1,Attchd,1954.0,TA,WD,Normal,132000
369,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,47,3489,5,7,2006,CBlock,TA,GasA,Ex,Y,SBrkr,1,Gd,7,2,Typ,1,Detchd,1997.0,TA,WD,Normal,162000
370,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0,3217,6,5,2000,PConc,TA,GasA,Ex,Y,SBrkr,1,TA,7,3,Typ,1,Attchd,2000.0,TA,WD,Normal,172400
371,RL,Pave,Lvl,AllPub,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,0,2327,4,4,1959,CBlock,NB,GasA,TA,Y,SBrkr,1,TA,7,2,Min2,1,Detchd,1991.0,TA,WD,Normal,134432
372,RL,Pave,Lvl,AllPub,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,0,2203,6,5,1984,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,4,2,Typ,0,Attchd,1984.0,TA,WD,Normal,125000
373,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2263,5,6,1953,PConc,TA,GasA,TA,Y,SBrkr,1,TA,5,2,Min2,0,Attchd,1953.0,TA,WD,Normal,123000
374,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,2Story,1,3357,7,5,2004,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,8,3,Typ,1,BuiltIn,2003.0,TA,WD,Normal,219500
375,RL,Pave,Low,AllPub,Sev,Edwards,Norm,Norm,1Fam,1Story,28,1587,1,1,1950,BrkTil,Po,GasA,Gd,N,FuseA,1,Fa,4,2,Maj1,0,NG,-1.0,NG,WD,Normal,61000
376,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,0,2360,5,5,1996,PConc,TA,GasA,Ex,Y,SBrkr,1,TA,5,1,Typ,0,Detchd,1998.0,TA,WD,Normal,148000
377,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,2Story,1,5029,8,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,8,3,Typ,1,Attchd,2004.0,TA,WD,Normal,340000
378,RL,Pave,Lvl,AllPub,Gtl,StoneBr,Norm,Norm,1Fam,1Story,0,4659,9,2,2010,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,8,3,Typ,1,Attchd,2010.0,TA,New,Partial,394432
379,RL,Pave,Lvl,AllPub,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,0,3408,6,5,2000,PConc,TA,GasA,Ex,Y,SBrkr,1,TA,7,3,Typ,1,Attchd,2000.0,TA,WD,Normal,179000
380,RL,Pave,Lvl,AllPub,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,26,3267,5,6,1950,BrkTil,TA,GasA,TA,Y,SBrkr,1,Gd,6,2,Typ,1,Detchd,1924.0,TA,WD,Normal,127000
381,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,1Story,0,3503,7,5,2006,PConc,Gd,GasA,Ex,Y,SBrkr,1,Gd,5,3,Typ,1,Attchd,2006.0,TA,New,Partial,187750
382,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0,3572,7,5,2006,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,8,3,Typ,0,Attchd,2006.0,TA,WD,Normal,213500
383,RH,Pave,Lvl,AllPub,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,22,2019,6,3,1950,BrkTil,Fa,GasA,TA,N,FuseA,1,TA,5,1,Typ,0,Detchd,1950.0,Fa,WD,Normal,76000
384,RL,Pave,Low,AllPub,Mod,ClearCr,Feedr,Norm,1Fam,2Story,0,4481,6,5,1992,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,9,4,Typ,2,Attchd,1992.0,TA,WD,Normal,240000
385,RL,Pave,Lvl,AllPub,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,1,3265,8,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,1,Attchd,2004.0,TA,WD,Normal,192000
386,RL,Pave,Lvl,AllPub,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,86,1993,5,3,1996,PConc,TA,GasA,TA,Y,SBrkr,1,TA,8,1,Typ,0,NG,-1.0,NG,WD,AdjLand,81000
387,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,SLvl,0,2814,6,6,1976,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,6,2,Typ,1,Detchd,1977.0,TA,WD,Abnorml,125000
388,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1,3669,7,5,2000,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,0,Attchd,1999.0,TA,WD,Normal,191000
389,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,2Story,1,5190,10,5,2008,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,9,4,Typ,1,BuiltIn,2008.0,TA,New,Partial,426000
390,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,50,2854,5,8,1950,BrkTil,Gd,GasA,Ex,Y,SBrkr,1,TA,7,2,Typ,0,Detchd,1978.0,TA,WD,Normal,119000
391,RL,Pave,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,1Fam,2Story,1,3642,6,5,2002,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,4,Typ,1,BuiltIn,2001.0,TA,WD,Normal,215000
392,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,1176,5,7,1959,Slab,NB,GasA,TA,Y,SBrkr,1,TA,5,1,Typ,0,Attchd,1959.0,TA,WD,Normal,106500
393,RL,Pave,Lvl,AllPub,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,9,1576,4,5,1950,CBlock,TA,GasA,TA,Y,FuseA,1,TA,4,1,Typ,2,NG,-1.0,NG,WD,Abnorml,100000
394,RL,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,10,2048,5,6,1950,CBlock,TA,GasA,Gd,Y,FuseA,1,TA,5,1,Typ,0,Detchd,1940.0,TA,WD,Normal,109000
395,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,1Story,0,2928,5,6,1956,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,6,2,Typ,0,Attchd,1956.0,TA,WD,Normal,129000
396,RL,Pave,Low,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,2603,5,5,1972,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,6,1,Typ,0,Detchd,1985.0,TA,WD,Normal,123000
397,RL,Pave,Lvl,AllPub,Gtl,NAmes,PosN,Norm,1Fam,2Story,0,3108,5,5,1962,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,8,2,Typ,1,Attchd,1962.0,TA,WD,Normal,169500
398,RM,Pave,Lvl,AllPub,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,30,2376,5,2,1950,BrkTil,Po,GasA,Gd,Y,Mix,1,TA,6,1,Maj2,0,Detchd,1920.0,Po,WD,Abnorml,67000
399,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,2Story,1,3248,7,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,3,Typ,0,Attchd,2007.0,TA,WD,Normal,241000
400,RL,Pave,Lvl,AllPub,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,0,3422,8,5,1996,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,4,3,Typ,2,Attchd,1996.0,TA,WD,Normal,245500
401,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,3020,7,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,1,Attchd,2005.0,TA,New,Partial,164990
402,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,1Fam,1Story,57,1752,5,8,1997,PConc,TA,GasA,Ex,Y,SBrkr,1,TA,4,1,Typ,0,Detchd,1940.0,TA,WD,Normal,108000
403,RL,Pave,Lvl,AllPub,Gtl,NoRidge,Norm,Norm,1Fam,2Story,0,4091,8,5,1998,PConc,TA,GasA,Gd,Y,SBrkr,1,Gd,10,3,Typ,1,BuiltIn,1998.0,TA,WD,Abnorml,258000
404,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,2Story,1,2791,6,5,1996,PConc,TA,GasA,Gd,Y,SBrkr,1,TA,7,3,Typ,1,BuiltIn,1995.0,TA,WD,Normal,168000
405,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,17,3589,4,4,1993,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,8,3,Min1,1,Attchd,1993.0,TA,WD,Normal,150000
406,RL,Pave,Lvl,AllPub,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,14,2470,6,5,1950,BrkTil,TA,GasA,Ex,Y,FuseA,1,TA,6,1,Maj2,0,Detchd,1936.0,TA,WD,Normal,115000
407,RL,Pave,Lvl,AllPub,Gtl,Crawfor,Norm,Norm,1Fam,2Story,61,2988,6,7,1976,BrkTil,TA,GasA,Ex,Y,SBrkr,1,TA,8,2,Typ,0,Attchd,1960.0,TA,WD,Normal,177000
408,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,2Story,0,4436,7,5,2006,PConc,Gd,GasA,Ex,Y,SBrkr,1,Gd,9,3,Typ,1,Attchd,2006.0,TA,New,Partial,280000
409,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,2Story,1,4050,8,5,2008,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,8,4,Typ,1,Attchd,2008.0,TA,New,Partial,339750
410,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,1Story,0,2902,5,3,1958,CBlock,Fa,GasA,TA,Y,FuseA,1,TA,5,1,Mod,0,Attchd,1958.0,TA,COD,Abnorml,60000
411,RL,Pave,Bnk,AllPub,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,0,2948,5,5,1955,CBlock,TA,GasA,TA,N,SBrkr,1,TA,5,2,Typ,0,Attchd,1955.0,TA,WD,Normal,145000
412,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,1Story,0,3576,7,5,2009,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,4,Typ,1,Attchd,2009.0,TA,New,Partial,222000
413,RM,Pave,Lvl,AllPub,Gtl,OldTown,Artery,Norm,1Fam,1Story,23,2526,5,6,1950,CBlock,TA,GasA,Gd,Y,FuseA,1,TA,5,1,Typ,1,Detchd,1927.0,TA,WD,Normal,115000
414,RL,Pave,Lvl,AllPub,Gtl,SawyerW,Norm,Norm,1Fam,2Story,0,4238,7,5,1993,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,9,4,Typ,1,Attchd,1993.0,TA,WD,Normal,228000
415,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,1Story,0,3206,7,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,0,Attchd,2007.0,TA,New,Partial,181134
416,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,1Fam,2Story,0,2512,6,7,1978,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,6,2,Typ,1,Attchd,1978.0,TA,WD,Normal,149500
417,RL,Pave,Lvl,AllPub,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,32,4858,6,6,1950,BrkTil,TA,GasW,TA,N,FuseA,1,TA,10,4,Typ,1,Detchd,1918.0,TA,WD,Normal,239000
418,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,10,2130,5,6,1950,BrkTil,TA,GasA,Fa,N,FuseF,1,TA,7,3,Typ,0,Detchd,1940.0,TA,WD,AdjLand,126000
419,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2685,5,6,1968,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,6,2,Typ,1,Attchd,1968.0,TA,WD,Normal,142000
420,RM,Pave,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,1,3472,7,5,1998,PConc,Gd,GasA,Ex,Y,SBrkr,2,TA,8,4,Typ,0,Attchd,1997.0,TA,WD,Alloca,206300
421,RL,Pave,Lvl,AllPub,Gtl,NWAmes,Norm,Norm,1Fam,1Story,23,3973,6,7,2000,CBlock,TA,GasA,Gd,Y,SBrkr,1,Gd,8,3,Typ,1,Attchd,1977.0,TA,WD,Normal,215000
422,RL,Pave,HLS,AllPub,Mod,Mitchel,Artery,Norm,1Fam,1Story,0,2496,5,5,1954,CBlock,TA,GasA,Ex,Y,FuseA,1,TA,4,1,Typ,0,Attchd,1954.0,TA,WD,Normal,113000
423,RL,Pave,Lvl,AllPub,Gtl,NoRidge,Norm,Norm,1Fam,2Story,0,4862,8,5,1998,PConc,TA,GasA,Gd,Y,SBrkr,1,Gd,8,4,Typ,1,Attchd,1998.0,TA,WD,Normal,315000
424,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2733,6,5,1956,CBlock,TA,GasA,Gd,Y,FuseA,1,TA,6,2,Typ,1,Attchd,1956.0,TA,WD,Normal,139000
425,RM,Pave,HLS,AllPub,Gtl,OldTown,Norm,Norm,1Fam,2Story,46,2406,7,8,1992,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,6,2,Typ,2,Detchd,1947.0,TA,WD,Normal,135000
426,RL,Pave,Low,AllPub,Mod,SawyerW,Norm,Norm,1Fam,SLvl,0,4207,7,5,1989,PConc,TA,GasA,Gd,Y,SBrkr,1,Gd,5,4,Typ,1,Attchd,1989.0,TA,WD,Normal,275000
427,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2166,4,6,1957,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,5,1,Typ,0,Detchd,1964.0,TA,WD,Normal,109008
428,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,3203,7,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,3,Typ,0,Attchd,2007.0,TA,New,Partial,195400
429,RL,Pave,Lvl,AllPub,Gtl,Timber,Norm,Norm,1Fam,1Story,0,3549,6,5,1988,CBlock,TA,GasA,TA,Y,SBrkr,1,Gd,6,3,Typ,1,Attchd,1988.0,TA,WD,Normal,175000
430,RM,Pave,Lvl,AllPub,Gtl,BrDale,Norm,Norm,Twnhs,2Story,0,1734,6,5,1971,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,4,2,Typ,0,Detchd,1971.0,TA,COD,Abnorml,85400
431,RM,Pave,Bnk,AllPub,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,78,2197,6,7,1998,BrkTil,TA,GasA,Gd,Y,SBrkr,1,TA,7,1,Typ,0,NG,-1.0,NG,ConLD,Abnorml,79900
432,RM,Pave,Lvl,AllPub,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,0,2846,5,5,1971,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,6,3,Min1,0,Detchd,1971.0,TA,WD,Normal,122500
433,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,2Story,1,3036,6,5,1998,PConc,TA,GasA,Ex,Y,SBrkr,1,TA,7,3,Typ,1,Attchd,1997.0,TA,WD,Normal,181000
434,RM,Pave,Lvl,AllPub,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,0,1348,4,7,1972,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,3,2,Typ,0,NG,-1.0,NG,WD,Normal,81000
435,RL,Pave,Lvl,AllPub,Gtl,CollgCr,PosN,Norm,1Fam,2Story,0,3229,7,6,1996,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,4,Typ,1,Attchd,1996.0,TA,ConLw,Normal,212000
436,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,30,2206,6,8,1950,BrkTil,TA,GasA,TA,Y,FuseA,1,TA,6,1,Typ,0,Detchd,1990.0,TA,WD,Normal,116000
437,RM,Pave,Lvl,AllPub,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,78,2073,6,7,2004,PConc,TA,GasA,Gd,Y,SBrkr,1,TA,4,1,Typ,0,Detchd,1926.0,TA,WD,Normal,119000
438,RL,Pave,Lvl,AllPub,Gtl,Crawfor,Norm,Norm,1Fam,1Story,89,1520,5,6,2002,PConc,TA,GasA,TA,N,SBrkr,1,Gd,4,1,Typ,1,Detchd,1990.0,Gd,WD,Normal,90350
439,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,80,2454,6,8,2000,BrkTil,Fa,GasA,Gd,Y,SBrkr,1,Gd,7,1,Typ,0,Detchd,2005.0,TA,ConLI,Normal,110000
440,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,1Story,0,6410,10,5,2008,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,10,3,Typ,2,Attchd,2008.0,TA,WD,Normal,555000
441,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,Duplex,1Story,0,2880,4,4,1955,CBlock,TA,GasA,TA,N,FuseF,2,Fa,8,2,Typ,0,NG,-1.0,NG,WD,Normal,118000
442,RM,Pave,Lvl,AllPub,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,62,3011,5,7,1992,PConc,TA,GasA,TA,Y,SBrkr,1,TA,8,2,Typ,1,Detchd,1930.0,TA,WD,Normal,162900
443,RL,Pave,Lvl,AllPub,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,1,3324,7,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,1,Attchd,2007.0,TA,New,Partial,172500
444,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,2Story,1,3593,7,5,1995,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,8,4,Typ,1,Attchd,1994.0,TA,WD,Normal,210000
445,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,1Story,0,3605,6,5,1956,CBlock,TA,GasA,Fa,Y,SBrkr,1,TA,7,1,Typ,1,Attchd,1956.0,TA,COD,Normal,127500
446,RL,Pave,Lvl,AllPub,Gtl,NAmes,PosA,Norm,1Fam,1Story,36,3983,6,6,2002,CBlock,TA,GasA,Ex,Y,SBrkr,1,Gd,6,3,Mod,1,Attchd,1966.0,TA,WD,Normal,190000
447,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,2Story,1,3336,7,5,1999,PConc,TA,GasA,Gd,Y,SBrkr,1,Gd,10,3,Typ,1,Attchd,1998.0,TA,WD,Normal,199900
448,RM,Pave,Bnk,AllPub,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,13,2354,6,6,1950,BrkTil,TA,GasA,TA,Y,SBrkr,1,TA,7,2,Typ,1,Detchd,1937.0,TA,WD,Normal,119500
449,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,54,2316,3,7,2002,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,6,2,Typ,0,Detchd,1981.0,TA,WD,Normal,120000
450,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,1Story,75,2009,6,8,2005,BrkTil,TA,GasA,Ex,Y,FuseA,1,Gd,5,1,Typ,0,Detchd,1932.0,Fa,WD,Normal,110000
451,RL,Pave,Low,AllPub,Mod,ClearCr,Norm,Norm,1Fam,1Story,0,3896,7,5,1975,CBlock,TA,GasA,TA,Y,SBrkr,1,Gd,5,3,Typ,2,Attchd,1975.0,TA,WD,Normal,280000
452,RL,Pave,Lvl,AllPub,Gtl,Timber,Norm,Norm,1Fam,2Story,1,3316,6,5,1997,PConc,TA,GasA,Ex,Y,SBrkr,1,TA,7,4,Typ,0,Attchd,1996.0,TA,WD,Normal,204000
453,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,2Story,0,3064,8,5,2008,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,3,Typ,0,Attchd,2008.0,TA,WD,Normal,210000
